"dtaatualizacao","nomereduzido","nroempresa","categoria_1","categoria_2","categoria_3","categoria_4","categoria_5","categoria_6","seqproduto","desccompleta","seqfornecedor","fornecedor","comprador","status_venda_loja","status_compra_cd","forma_abastecimento","estoque_minimo","estoque_maximo","embalagem_compra","embalagem_transferencia","embalagem_venda","qtdestoque","estoque_disponivel","medvdiageral","data_ult_venda","data_pr_entrada","data_ult_entrada","vda_m_3","vda_m_2","vda_m_1","vda_m_atual","qtdpedido","custo_m_bruto","ult_custo_bruto","ult_custo_liquido","vlr_tot_estoque","status_compra_loja","precovalidnormal","precovalidpromoc","seqequivalente","seqprodutobase","item_equiv","preco_monitor","chave","regional","mesmas_lojas","nomeajustado","cd","tipo","est_equivalente_est_tt","est_equivalente_pedido_tt","est_equivalente_status_compra","est_equivalente_vda_tt","est_equivalente_vda_tt_3m","est_equivalente_vda_tt_4m","mes","dia","ano","nome_mes","chave_cd","comparativo","est_cd","pedido_cd","status","chave_empresa","curva","est_vd_empresa_est_tt","est_vd_empresa_pedido_tt","est_vd_empresa_status_compra","est_vd_empresa_vda_tt","est_vd_empresa_vda_tt_4m","dt_pedido"
"2019-10-16","09_Oba Tatu",9.0,FRIOS,CASTANHAS & FRUTAS SECAS,CASTANHA,CASTANHA DE CAJU,TORRADO & SALGADO,NAO REFRIGERADO,166764.0,CAST CAJU OBA BEM QUERER TOR SALG 250G,46705.0,"97_OBA CD",PRODUCAO,ATIVO,ATIVO,Negociação direto Loja,264.0,264.0,12.0,12.0,1.0,275.0,275.0,14.766667,"2019-10-16 00:00:00","2016-05-21 00:00:00","2019-10-16 00:00:00",319.0,294.0,407.0,201.0,0.0,14.2526,14.2526,12.5422,3919.465,ATIVO,32.99,0.0,166764.0,,166764.0,,"2019-10-1609_Oba Tatu166764",SP Capital,Sim,"09_Oba Tatu","97_Oba CD",LOJA,275.0,0.0,ATIVO,14.766667,902.0,1221.0,10,16,2019,October,"2019-10-1697_Oba CD166764","2019-10-1697_Oba CD166764",876.0,0.0,ATIVO,"2019-10-16166764",A,10882.0,1416.0,ATIVO,825.802404,32304.0,"2020-07-02 21:25:16"
"2020-05-20","09_Oba Tatu",9.0,FRIOS,CASTANHAS & FRUTAS SECAS,CASTANHA,CASTANHA DE CAJU,TORRADO & SALGADO,NAO REFRIGERADO,166764.0,CAST CAJU OBA BEM QUERER TOR SALG 250G,46705.0,"97 - OBA CD",PRODUCAO,ATIVO,ATIVO,Abastecido pelo CD,480.0,480.0,12.0,12.0,1.0,464.0,437.0,19.833333,"2020-05-20 00:00:00","2016-05-21 00:00:00","2020-05-19 00:00:00",548.0,695.0,677.0,360.0,36.0,13.8366,13.8366,12.1761,6420.1824,ATIVO,29.99,0.0,166764.0,,166764.0,,"2020-05-2009_Oba Tatu166764",SP Capital,Sim,"09_Oba Tatu","97_Oba CD",LOJA,437.0,36.0,ATIVO,19.833333,1732.0,2280.0,5,20,2020,May,"2020-05-2097_Oba CD166764","2020-05-2097_Oba CD166764",2388.0,0.0,ATIVO,"2020-05-20166764",A,15552.0,792.0,ATIVO,535.267998,49538.0,"2020-07-02 21:25:16"
"2019-10-14","53 - Flamboy",53.0,FRIOS,CASTANHAS & FRUTAS SECAS,FRUTA SECA,TAMARA,COM CAROCO,NAO REFRIGERADO,127399.0,TAMARAS JUMBO ISRAEL C CAROCO,2012.0,BENASSI,PRODUCAO,ATIVO,ATIVO,Abastecido CrossDocking,0.0,0.0,5.0,5.0,1.0,158.88,158.88,6.616462,"2019-10-14 00:00:00","1900-01-01 00:00:00","2019-10-01 00:00:00",0.0,0.0,0.0,86.014,0.0,32.428,32.428,32.428,5152.16064,ATIVO,69.99,0.0,127399.0,,127399.0,,"2019-10-1453 - Flamboy127399",Goi¿nia,N¿o,"53 - Flamboy","100-CD-DF",LOJA,158.88,0.0,ATIVO,6.616462,86.014,86.014,10,14,2019,October,"2019-10-14100-CD-DF127399","2019-10-14100-CD-DF127399",,,,"2019-10-14127399",A,959.99,0.0,ATIVO,69.12561400000001,880.262,
"2020-02-14","41_Oba Leopo",41.0,AUTOSSERVICO,IOGURTES,LEITE FERMENTADO,NATURAL,CONVENCIONAL,REFRIGERADO,17517.0,LEITE FERM YAKULT 480G,1706.0,YAKULT,FABIANO,ATIVO,ATIVO,SP - CD/ DF - LOJA,960.0,960.0,60.0,60.0,1.0,828.0,828.0,71.0,"2020-02-14 00:00:00","1900-01-01 00:00:00","2020-02-14 00:00:00",2286.0,1968.0,2034.0,1020.0,120.0,0.9373,0.9373,0.9364,776.0844,ATIVO,1.49,0.0,17517.0,,17517.0,,"2020-02-1441_Oba Leopo17517",SP Capital,N¿o,"41_Oba Leopo","97_Oba CD",LOJA,828.0,120.0,ATIVO,71.0,5022.0,7308.0,2,14,2020,February,"2020-02-1497_Oba CD17517","2020-02-1497_Oba CD17517",21780.0,18000.0,ATIVO,"2020-02-1417517",A,91952.0,48240.0,ATIVO,6277.201602,598080.0,"2020-07-02 19:14:48"
"2019-12-04","33_Oba Galle",33.0,AUTOSSERVICO,IOGURTES,BEBIDA LACTEA & POLPA,MORANGO,CONVENCIONAL,REFRIGERADO,154626.0,IOG NESTLE NINHO LIG 170G MACA BANANA,322.0,M A CONSTANCIO,FABIANO,ATIVO,INATIVO,Negociação direto Loja,60.0,60.0,12.0,12.0,1.0,16.0,16.0,4.133433,"2019-12-02 00:00:00","2018-05-23 00:00:00","2019-11-29 00:00:00",150.0,136.0,116.0,12.0,48.0,2.18,2.18,2.18,34.88,ATIVO,3.49,0.0,154626.0,,154626.0,,"2019-12-0433_Oba Galle154626",Campinas,N¿o,"33_Oba Galle","97_Oba CD",LOJA,16.0,48.0,ATIVO,4.133433,264.0,414.0,12,4,2019,December,"2019-12-0497_Oba CD154626","2019-12-0497_Oba CD154626",,,,"2019-12-04154626",B,1020.0,1228.0,ATIVO,154.93858,12950.0,"2020-07-06 12:13:34"
"2019-10-07","31_Oba Sousa",31.0,ACOUGUE,BOVINO,PALETA,SHOULDER,IN NATURA,AS REFRIGERADO,135099.0,SHOULDER OBA RVE,41722.0,"27 FRIGORIFICO",MARCOS CAETANO,ATIVO,INATIVO,Negociação direto Loja,0.0,0.0,1.0,1.0,1.0,15.901,15.901,1.880633,"2019-10-06 00:00:00","2017-09-22 00:00:00","2019-10-03 00:00:00",29.348,39.743,50.04,8.756,0.0,26.0,26.0,26.0,413.426,ATIVO,44.99,0.0,135099.0,,135099.0,,"2019-10-0731_Oba Sousa135099",Campinas,Sim,"31_Oba Sousa","97_Oba CD",LOJA,15.901,0.0,ATIVO,1.880633,98.539,127.887,10,7,2019,October,"2019-10-0797_Oba CD135099","2019-10-0797_Oba CD135099",,,,"2019-10-07135099",C,817.6179999999997,0.0,ATIVO,236.923534,10311.678,
"2020-05-08","09_Oba Tatu",9.0,FRIOS,CASTANHAS & FRUTAS SECAS,CASTANHA,CASTANHA DE CAJU,TORRADO & SALGADO,NAO REFRIGERADO,166764.0,CAST CAJU OBA BEM QUERER TOR SALG 250G,46705.0,"97 - OBA CD",BIRO,ATIVO,ATIVO,Abastecido pelo CD,480.0,480.0,12.0,12.0,1.0,457.0,444.0,21.3,"2020-05-08 00:00:00","2016-05-21 00:00:00","2020-05-08 00:00:00",548.0,695.0,677.0,136.0,12.0,13.8364,13.8364,12.1759,6323.2348,ATIVO,29.99,24.99,166764.0,,166764.0,,"2020-05-0809_Oba Tatu166764",SP Capital,Sim,"09_Oba Tatu","97_Oba CD",LOJA,444.0,12.0,ATIVO,21.3,1508.0,2056.0,5,8,2020,May,"2020-05-0897_Oba CD166764","2020-05-0897_Oba CD166764",816.0,0.0,ATIVO,"2020-05-08166764",A,11888.0,960.0,ATIVO,520.66773,43428.0,"2020-07-02 21:25:16"
"2019-11-22","15_Oba Sant.",15.0,AUTOSSERVICO,FONDUE,DOCE,CHOCOLATE,CONVENCIONAL,NAO REFRIGERADO,206026.0,FONDUE CHOC SAO VICENTE 250G,77321.0,CENTRO DISTR SAO VICENTE MINAS,FABIANO,ATIVO,SUSPENSO,Abastecido pelo CD,36.0,36.0,6.0,6.0,1.0,0.0,0.0,1.2,"2019-08-19 00:00:00","1900-01-01 00:00:00","2019-07-17 00:00:00",20.0,0.0,0.0,0.0,0.0,13.7535,13.7535,13.7535,0.0,SUSPENSO,21.99,0.0,206026.0,,206026.0,,"2019-11-2215_Oba Sant.206026",SP Capital,Sim,"15_Oba Sant.","97_Oba CD",LOJA,0.0,0.0,SUSPENSO,1.2,0.0,20.0,11,22,2019,November,"2019-11-2297_Oba CD206026","2019-11-2297_Oba CD206026",,,,"2019-11-22206026",D,1248.0,0.0,SUSPENSO,27.150996,2010.0,"2020-07-05 12:09:32"
"2020-06-11","53 - Flamboy",53.0,FRIOS,CASTANHAS & FRUTAS SECAS,FRUTA SECA,TAMARA,COM CAROCO,NAO REFRIGERADO,127399.0,TAMARAS JUMBO ISRAEL C CAROCO,2012.0,BENASSI,BIRO,ATIVO,ATIVO,Abastecido pelo CD,35.0,35.0,5.0,5.0,1.0,181.858,181.858,4.249833,"2020-06-11 00:00:00","1900-01-01 00:00:00","2020-06-09 00:00:00",177.281,149.972,147.51,42.05,0.0,34.903,34.903,34.903,6347.389774,ATIVO,69.99,0.0,127399.0,,127399.0,,"2020-06-1153 - Flamboy127399",Goi¿nia,N¿o,"53 - Flamboy","100-CD-DF",LOJA,181.858,0.0,ATIVO,4.249833,339.532,516.813,6,11,2020,June,"2020-06-11100-CD-DF127399","2020-06-11100-CD-DF127399",,,,"2020-06-11127399",A,1909.202,10.0,ATIVO,73.892732,7938.224,
"2020-01-13","15_Oba Sant.",15.0,MERCEARIA,SUPLEMENTOS,SNACKS,WHEY,SEM ACUCAR,SEM ACUCAR,206777.0,PROTEIN BALL BEST WHEY CHOC LEITE 50G,183775.0,ADS,BRUNO LIMA,ATIVO,ATIVO,Abastecido pelo CD,24.0,24.0,24.0,24.0,1.0,17.0,17.0,0.133333,"2020-01-12 00:00:00","1900-01-01 00:00:00","2019-11-29 00:00:00",0.0,0.0,5.0,2.0,0.0,6.7333,6.7333,6.7333,114.4661,ATIVO,14.99,0.0,206777.0,,206777.0,,"2020-01-1315_Oba Sant.206777",SP Capital,Sim,"15_Oba Sant.","97_Oba CD",LOJA,17.0,0.0,ATIVO,0.133333,7.0,7.0,1,13,2020,January,"2020-01-1397_Oba CD206777","2020-01-1397_Oba CD206777",840.0,10800.0,ATIVO,"2020-01-13206777",B,3278.0,22368.0,ATIVO,14.853176,2248.0,
